r_cm,nF_30pctSF6_m3,nF_30pctSF6_normalised,nF_90pctSF6_m3,nF_90pctSF6_normalised
0.1511,3.646e+19,1.0000,1.030e+20,1.0000
0.4532,3.635e+19,0.9968,1.026e+20,0.9968
0.7547,3.612e+19,0.9906,1.020e+20,0.9906
1.0554,3.578e+19,0.9813,1.010e+20,0.9813
1.3548,3.534e+19,0.9692,9.978e+19,0.9691
1.6527,3.480e+19,0.9543,9.825e+19,0.9542
1.9488,3.417e+19,0.9370,9.646e+19,0.9369
2.2426,3.346e+19,0.9176,9.445e+19,0.9174
2.5340,3.268e+19,0.8962,9.225e+19,0.8960
2.8226,3.184e+19,0.8732,8.988e+19,0.8730
3.1080,3.096e+19,0.8490,8.738e+19,0.8487
3.3901,3.004e+19,0.8238,8.478e+19,0.8235
3.6686,2.910e+19,0.7980,8.212e+19,0.7976
3.9433,2.814e+19,0.7718,7.943e+19,0.7714
4.2138,2.719e+19,0.7457,7.673e+19,0.7452
4.4800,2.624e+19,0.7197,7.405e+19,0.7193
4.7418,2.531e+19,0.6942,7.142e+19,0.6937
4.9988,2.440e+19,0.6693,6.886e+19,0.6688
5.2510,2.352e+19,0.6452,6.637e+19,0.6446
5.4982,2.268e+19,0.6219,6.398e+19,0.6214
5.7402,2.186e+19,0.5996,6.168e+19,0.5991
5.9771,2.109e+19,0.5784,5.949e+19,0.5778
6.2086,2.035e+19,0.5582,5.741e+19,0.5576
6.4347,1.966e+19,0.5391,5.544e+19,0.5385
6.6553,1.900e+19,0.5210,5.359e+19,0.5205
6.8704,1.838e+19,0.5041,5.184e+19,0.5035
7.0799,1.780e+19,0.4881,5.019e+19,0.4875
7.2839,1.725e+19,0.4731,4.865e+19,0.4726
7.4823,1.674e+19,0.4591,4.721e+19,0.4586
7.6751,1.626e+19,0.4460,4.587e+19,0.4455
7.8623,1.582e+19,0.4338,4.461e+19,0.4333
8.0440,1.540e+19,0.4224,4.343e+19,0.4219
8.2203,1.502e+19,0.4118,4.234e+19,0.4113
8.3911,1.465e+19,0.4019,4.132e+19,0.4014
8.5565,1.432e+19,0.3927,4.038e+19,0.3922
8.7166,1.401e+19,0.3842,3.950e+19,0.3837
8.8715,1.372e+19,0.3762,3.868e+19,0.3757
9.0212,1.345e+19,0.3689,3.793e+19,0.3684
9.1659,1.320e+19,0.3621,3.723e+19,0.3616
9.3056,1.297e+19,0.3558,3.658e+19,0.3553
9.4405,1.276e+19,0.3500,3.598e+19,0.3495
9.5706,1.257e+19,0.3446,3.543e+19,0.3442
9.6960,1.239e+19,0.3397,3.493e+19,0.3393
9.8169,1.223e+19,0.3353,3.447e+19,0.3348
9.9333,1.208e+19,0.3312,3.406e+19,0.3308
10.0454,1.195e+19,0.3277,3.369e+19,0.3272
10.1534,1.183e+19,0.3246,3.337e+19,0.3241
10.2572,1.174e+19,0.3220,3.310e+19,0.3215
10.3570,1.167e+19,0.3199,3.290e+19,0.3195
10.4530,1.162e+19,0.3186,3.276e+19,0.3182
