branch,q_SF6_sccm,P_rf_W,p_mTorr,nF_model_m3,ne_m3,Te_eV,alpha,converged
600W/20mTorr,10,600,20,3.888e+19,3.625e+16,1.910,3.47,True
600W/20mTorr,30,600,20,4.170e+19,3.648e+15,2.517,46.47,True
600W/20mTorr,50,600,20,3.663e+19,1.132e+15,2.906,131.34,True
600W/20mTorr,70,600,20,3.482e+19,6.343e+14,3.047,224.93,True
600W/20mTorr,90,600,20,3.392e+19,4.343e+14,3.119,322.08,True
700W/40mTorr,10,700,40,5.550e+19,4.365e+16,1.655,3.84,True
700W/40mTorr,30,700,40,4.784e+19,2.344e+15,2.393,87.27,True
700W/40mTorr,50,700,40,4.196e+19,7.294e+14,2.776,238.22,True
700W/40mTorr,70,700,40,3.986e+19,4.106e+14,2.920,402.00,True
700W/40mTorr,90,700,40,3.878e+19,2.821e+14,2.993,571.45,True
