P_rf_W,nF_model_volavg_m3,ne_m3,Te_eV,alpha,dissoc_frac,converged
400.0,9.820e+19,5.072e+16,2.855,6.74,0.741,True
500.0,1.259e+20,8.382e+16,2.742,4.43,0.804,True
600.0,1.527e+20,1.256e+17,2.654,3.10,0.846,True
700.0,1.782e+20,1.763e+17,2.582,2.25,0.876,True
800.0,2.017e+20,2.340e+17,2.528,1.69,0.898,True
900.0,2.230e+20,2.968e+17,2.487,1.31,0.915,True
1000.0,2.418e+20,3.625e+17,2.458,1.03,0.928,True
1100.0,2.584e+20,4.292e+17,2.439,0.83,0.938,True
1200.0,2.729e+20,4.961e+17,2.425,0.68,0.947,True
1300.0,2.855e+20,5.613e+17,2.418,0.57,0.953,True
1400.0,2.963e+20,6.245e+17,2.414,0.48,0.959,True
1500.0,3.055e+20,6.851e+17,2.413,0.41,0.963,True
