E_over_N_Td,Te_eV,k_att_boltz,k_att_maxwell,ratio_att,k_iz_boltz,k_iz_maxwell,ratio_iz,k_exc_boltz,k_exc_maxwell,ratio_exc
1,0.5332,1.7156e-14,1.4424e-14,1.189,0.0000e+00,2.2879e-28,0,9.0558e-14,9.3629e-14,0.9672
3,0.6017,1.4991e-14,1.2361e-14,1.213,0.0000e+00,7.9863e-27,0,8.8831e-14,9.1920e-14,0.9664
5,0.5763,1.5718e-14,1.3063e-14,1.203,0.0000e+00,2.3607e-27,0,8.9482e-14,9.2568e-14,0.9667
10,0.5879,1.5206e-14,1.2733e-14,1.194,0.0000e+00,4.1796e-27,0,8.9217e-14,9.2273e-14,0.9669
20,0.6519,1.3526e-14,1.1146e-14,1.214,0.0000e+00,6.7891e-26,0,8.7551e-14,9.0614e-14,0.9662
30,0.7548,1.1246e-14,9.2082e-15,1.221,0.0000e+00,2.2708e-24,0,8.4887e-14,8.7950e-14,0.9652
50,1.039,7.3914e-15,6.0308e-15,1.226,0.0000e+00,1.0798e-21,0,7.8237e-14,8.1482e-14,0.9602
70,1.279,5.5609e-15,4.5689e-15,1.217,1.4225e-34,2.4898e-20,5.713e-15,7.3800e-14,7.7344e-14,0.9542
80,1.377,5.0078e-15,4.1442e-15,1.208,1.1043e-28,6.5802e-20,1.678e-09,7.2264e-14,7.5988e-14,0.951
90,1.457,4.5951e-15,3.8418e-15,1.196,5.0569e-27,1.3442e-19,3.762e-08,7.1059e-14,7.4981e-14,0.9477
100,1.522,4.2787e-15,3.6260e-15,1.18,9.3051e-26,2.2671e-19,4.104e-07,7.0106e-14,7.4244e-14,0.9443
110,1.573,4.0261e-15,3.4696e-15,1.16,8.7074e-25,3.3364e-19,2.61e-06,6.9332e-14,7.3702e-14,0.9407
120,1.618,3.8043e-15,3.3418e-15,1.138,4.7904e-24,4.5992e-19,1.042e-05,6.8647e-14,7.3253e-14,0.9371
130,1.675,3.5691e-15,3.1936e-15,1.118,1.8806e-23,6.7135e-19,2.801e-05,6.7913e-14,7.2729e-14,0.9338
140,1.757,3.3041e-15,2.9992e-15,1.102,6.8685e-23,1.1153e-18,6.159e-05,6.7089e-14,7.2036e-14,0.9313
150,1.855,3.0427e-15,2.7920e-15,1.09,2.4293e-22,1.9460e-18,0.0001248,6.6307e-14,7.1292e-14,0.9301
160,1.961,2.8056e-15,2.5970e-15,1.08,7.8034e-22,3.3402e-18,0.0002336,6.5647e-14,7.0594e-14,0.9299
175,2.124,2.5024e-15,2.3415e-15,1.069,3.5865e-21,6.9748e-18,0.0005142,6.4906e-14,6.9688e-14,0.9314
200,2.391,2.1182e-15,2.0119e-15,1.053,2.6535e-20,1.9081e-17,0.001391,6.4220e-14,6.8562e-14,0.9367
225,2.637,1.8465e-15,1.7783e-15,1.038,1.1797e-19,4.0830e-17,0.002889,6.3983e-14,6.7815e-14,0.9435
250,2.853,1.6508e-15,1.6119e-15,1.024,3.6879e-19,7.2281e-17,0.005102,6.3986e-14,6.7322e-14,0.9504
275,3.04,1.5051e-15,1.4906e-15,1.01,9.0232e-19,1.1158e-16,0.008086,6.4100e-14,6.6989e-14,0.9569
300,3.202,1.3924e-15,1.3992e-15,0.9951,1.8556e-18,1.5652e-16,0.01186,6.4255e-14,6.6755e-14,0.9625
350,3.47,1.2268e-15,1.2698e-15,0.9661,5.5587e-18,2.5727e-16,0.02161,6.4562e-14,6.6453e-14,0.9715
400,3.69,1.1079e-15,1.1798e-15,0.939,1.2465e-17,3.6841e-16,0.03383,6.4806e-14,6.6266e-14,0.978
450,3.881,1.0176e-15,1.1111e-15,0.9159,2.3420e-17,4.8879e-16,0.04791,6.4985e-14,6.6137e-14,0.9826
500,4.054,9.4732e-16,1.0553e-15,0.8977,3.9143e-17,6.1815e-16,0.06332,6.5116e-14,6.6041e-14,0.986
1000,5.342,7.0212e-16,7.6581e-16,0.9168,5.4947e-16,2.2815e-15,0.2408,6.5479e-14,6.5734e-14,0.9961
