EN_Td,k_iz,k_att,k_diss_like,k_iz_Ar,k_el_SF6
1,0.000000e+00,1.715569e-14,9.055761e-14,0.000000e+00,8.856676e-14
3,0.000000e+00,1.499064e-14,8.883111e-14,0.000000e+00,8.886945e-14
5,0.000000e+00,1.571827e-14,8.948222e-14,0.000000e+00,8.860318e-14
10,0.000000e+00,1.520613e-14,8.921651e-14,0.000000e+00,8.835156e-14
20,0.000000e+00,1.352646e-14,8.755077e-14,0.000000e+00,8.934798e-14
30,0.000000e+00,1.124568e-14,8.488726e-14,0.000000e+00,9.172551e-14
50,0.000000e+00,7.391412e-15,7.823726e-14,0.000000e+00,1.018246e-13
70,1.422473e-34,5.560928e-15,7.380034e-14,2.236007e-30,1.112951e-13
80,1.104317e-28,5.007836e-15,7.226420e-14,6.561695e-28,1.151109e-13
90,5.056950e-27,4.595062e-15,7.105874e-14,2.683619e-26,1.182695e-13
100,9.305126e-26,4.278697e-15,7.010557e-14,4.582323e-25,1.208158e-13
110,8.707412e-25,4.026098e-15,6.933205e-14,4.044939e-24,1.228604e-13
120,4.790430e-24,3.804254e-15,6.864669e-14,2.122968e-23,1.246814e-13
130,1.880583e-23,3.569109e-15,6.791278e-14,8.017965e-23,1.269252e-13
140,6.868489e-23,3.304072e-15,6.708936e-14,2.835047e-22,1.300844e-13
150,2.429340e-22,3.042651e-15,6.630746e-14,9.749859e-22,1.338151e-13
160,7.803435e-22,2.805603e-15,6.564698e-14,3.054638e-21,1.377565e-13
175,3.586539e-21,2.502429e-15,6.490614e-14,1.358227e-20,1.437284e-13
200,2.653525e-20,2.118213e-15,6.421968e-14,9.586975e-20,1.532691e-13
225,1.179715e-19,1.846543e-15,6.398265e-14,4.094125e-19,1.618158e-13
250,3.687906e-19,1.650762e-15,6.398568e-14,1.235011e-18,1.691727e-13
275,9.023150e-19,1.505063e-15,6.410009e-14,2.925166e-18,1.753989e-13
300,1.855647e-18,1.392372e-15,6.425482e-14,5.837264e-18,1.806728e-13
350,5.558686e-18,1.226764e-15,6.456193e-14,1.654572e-17,1.891492e-13
400,1.246519e-17,1.107905e-15,6.480583e-14,3.527120e-17,1.958576e-13
450,2.342025e-17,1.017583e-15,6.498525e-14,6.320786e-17,2.015147e-13
500,3.914323e-17,9.473203e-16,6.511621e-14,1.010336e-16,2.064855e-13
1000,5.494707e-16,7.021208e-16,6.547887e-14,1.008157e-15,2.395503e-13
