EN_Td,Te_eff_eV,mean_energy_eV
1,5.332222e-01,7.998334e-01
3,6.016793e-01,9.025189e-01
5,5.763283e-01,8.644925e-01
10,5.879439e-01,8.819158e-01
20,6.519276e-01,9.778913e-01
30,7.548350e-01,1.132253e+00
50,1.039297e+00,1.558946e+00
70,1.279498e+00,1.919247e+00
80,1.376526e+00,2.064790e+00
90,1.457085e+00,2.185628e+00
100,1.521831e+00,2.282746e+00
110,1.573236e+00,2.359853e+00
120,1.618448e+00,2.427672e+00
130,1.674908e+00,2.512362e+00
140,1.756631e+00,2.634946e+00
150,1.855110e+00,2.782664e+00
160,1.960846e+00,2.941269e+00
175,2.123950e+00,3.185924e+00
200,2.391082e+00,3.586623e+00
225,2.636803e+00,3.955204e+00
250,2.853245e+00,4.279868e+00
275,3.040374e+00,4.560561e+00
300,3.202184e+00,4.803276e+00
350,3.469906e+00,5.204859e+00
400,3.689699e+00,5.534549e+00
450,3.881124e+00,5.821686e+00
500,4.054200e+00,6.081300e+00
1000,5.341531e+00,8.012296e+00
