r_cm,ion_flux_m2s,ion_energy_eV
1.848583e-01,1.477100e+17,1.099232e+01
5.760035e-01,1.476400e+17,1.099207e+01
1.011899e+00,1.473463e+17,1.099100e+01
1.496343e+00,1.467876e+17,1.098895e+01
2.033118e+00,1.458900e+17,1.098555e+01
2.625886e+00,1.445574e+17,1.098031e+01
3.278073e+00,1.426706e+17,1.097250e+01
3.992723e+00,1.400848e+17,1.096112e+01
4.772336e+00,1.366291e+17,1.094484e+01
5.618700e+00,1.321090e+17,1.092198e+01
6.532698e+00,1.263154e+17,1.089062e+01
7.514138e+00,1.190436e+17,1.084884e+01
8.561582e+00,1.101240e+17,1.079521e+01
9.672215e+00,9.946158e+16,1.072946e+01
1.084175e+01,8.707947e+16,1.065335e+01
1.206440e+01,7.315255e+16,1.057123e+01
1.333290e+01,5.800572e+16,1.049016e+01
1.463866e+01,4.209103e+16,1.041904e+01
1.597193e+01,2.593255e+16,1.036678e+01
1.732208e+01,1.005871e+16,1.033977e+01
