z_cm,ne_cm3,Te_eV,nF_cm3,P_ind_kW_m3
1.487201e-01,3.047105e+08,1.914178e+00,1.530570e+13,6.098428e-08
4.742405e-01,5.714873e+08,1.916384e+00,1.541855e+13,1.165813e-06
8.597004e-01,8.882917e+08,1.922115e+00,1.557752e+13,5.991343e-06
1.312518e+00,1.262482e+09,1.933197e+00,1.579904e+13,2.008652e-05
1.839522e+00,1.701952e+09,1.952077e+00,1.610363e+13,5.429458e-05
2.446252e+00,2.215053e+09,1.981916e+00,1.651572e+13,1.291030e-04
3.136121e+00,2.810418e+09,2.026629e+00,1.706262e+13,2.826272e-04
3.909510e+00,3.496566e+09,2.090844e+00,1.777191e+13,5.854127e-04
4.762930e+00,4.280983e+09,2.179711e+00,1.866681e+13,1.167712e-03
5.688405e+00,5.168336e+09,2.298493e+00,1.975907e+13,2.268401e-03
6.673277e+00,6.157396e+09,2.451844e+00,2.103970e+13,4.318316e-03
7.700577e+00,7.236542e+09,2.642680e+00,2.246946e+13,8.072047e-03
8.750000e+00,8.378399e+09,2.870657e+00,2.397354e+13,1.479812e-02
9.799423e+00,9.483549e+09,3.130606e+00,2.544597e+13,2.639223e-02
1.082672e+01,1.039393e+10,3.411707e+00,2.676916e+13,4.538111e-02
1.181160e+01,1.093273e+10,3.698338e+00,2.784435e+13,7.482129e-02
1.273707e+01,1.096110e+10,3.972851e+00,2.861893e+13,1.183457e-01
1.359049e+01,1.043233e+10,4.219264e+00,2.909656e+13,1.806151e-01
1.436388e+01,9.409823e+09,4.426164e+00,2.932716e+13,2.659746e-01
1.505375e+01,8.039333e+09,4.465418e+00,2.938462e+13,3.672913e-01
1.566048e+01,6.522118e+09,4.467809e+00,2.935108e+13,4.269243e-01
1.618748e+01,5.012313e+09,4.468869e+00,2.928511e+13,3.492268e-01
1.664030e+01,3.605104e+09,4.469327e+00,2.922048e+13,1.636941e-01
1.702576e+01,2.349410e+09,4.469522e+00,2.917280e+13,3.909986e-02
1.735128e+01,1.261926e+09,4.469588e+00,2.914616e+13,2.204407e-03
