r_cm,ne_cm3,Te_eV,nF_cm3,etch_rate_nm_s
1.848583e-01,3.047105e+08,1.914178e+00,1.530570e+13,1.107733e+00
5.760035e-01,3.045661e+08,1.914134e+00,1.529891e+13,1.107242e+00
1.011899e+00,3.039606e+08,1.913949e+00,1.527048e+13,1.105184e+00
1.496343e+00,3.028084e+08,1.913591e+00,1.521657e+13,1.101283e+00
2.033118e+00,3.009574e+08,1.913000e+00,1.513048e+13,1.095053e+00
2.625886e+00,2.982094e+08,1.912087e+00,1.500385e+13,1.085888e+00
3.278073e+00,2.943185e+08,1.910727e+00,1.482680e+13,1.073074e+00
3.992723e+00,2.889861e+08,1.908745e+00,1.458813e+13,1.055801e+00
4.772336e+00,2.818598e+08,1.905910e+00,1.427554e+13,1.033177e+00
5.618700e+00,2.725381e+08,1.901929e+00,1.387616e+13,1.004273e+00
6.532698e+00,2.605901e+08,1.896468e+00,1.337732e+13,9.681692e-01
7.514138e+00,2.455935e+08,1.889193e+00,1.276766e+13,9.240458e-01
8.561582e+00,2.271976e+08,1.879853e+00,1.203865e+13,8.712844e-01
9.672215e+00,2.052067e+08,1.868405e+00,1.118624e+13,8.095920e-01
1.084175e+01,1.796676e+08,1.855151e+00,1.021254e+13,7.391215e-01
1.206440e+01,1.509350e+08,1.840850e+00,9.127049e+12,6.605605e-01
1.333290e+01,1.196827e+08,1.826732e+00,7.947031e+12,5.751579e-01
1.463866e+01,8.684613e+07,1.814349e+00,6.696664e+12,4.846640e-01
1.597193e+01,5.350647e+07,1.805248e+00,5.405054e+12,3.911851e-01
1.732208e+01,2.075407e+07,1.800544e+00,4.103405e+12,2.969796e-01
